,Region,Provincia,City,Grade,Name Of School,Address,Type,Code
0,,,,,,,,
1,Abruzzo,Provincia di Chieti,Altino,Scuola dell'Infanzia (2),Selva,"Selva
Via Teofilo Patini 40
66040 Altino CH
Istituto principale:
CHIC80600P Casoli G. De Petra - Casoli",Scuola statale,CHAA80604P
2,Abruzzo,Provincia di Chieti,Altino,Scuola dell'Infanzia (2),Santa Rita da Cascia,"Santa Rita da Cascia
Via della Madonna 30/F
66040 Altino CH",Scuola paritaria,CH1A001002
3,Abruzzo,Provincia di Chieti,Altino,Scuola Primaria (1),Altino Capoluogo,"Altino Capoluogo
Via della Madonna 1
66040 Altino CH
Istituto principale:
CHIC80600P Casoli G. De Petra - Casoli",Scuola statale,CHEE80602T
4,Abruzzo,Provincia di Chieti,Altino,Scuola Secondaria di primo grado (1),Altino - IC Casoli,"Altino - IC Casoli
Via San Pietro 1
66040 Altino CH
Istituto principale:
CHIC80600P Casoli G. De Petra - Casoli",Scuola statale,CHMM80602R
5,Abruzzo,Provincia di Chieti,Altino,Scuola Secondaria di secondo grado (5),Liceo delle Scienze Umane,"Liceo Scienze Umane
Liceo delle Scienze Umane
Via del Campo Stortivo 35
66043 Casoli CH
Istituto principale:
CHIS00300B Algeri Marino",Scuola statale,CHPM00301V
6,Abruzzo,Provincia di Chieti,Altino,Scuola Secondaria di secondo grado (5),Lic. Sc. Algeri Marino,"Liceo Scientifico
Lic. Sc. Algeri Marino
Via del Campo 35
66043 Casoli CH
Istituto principale:
CHIS00300B Algeri Marino
Percorsi di Studio:
· LICEO SCIENTIFICO",Scuola statale,CHPS00301T
7,Abruzzo,Provincia di Chieti,Altino,Scuola Secondaria di secondo grado (5),Ist. Prof. Casoli - Iis Algeri Marino,"Istituto Professionale
Ist. Prof. Casoli - Iis Algeri Marino
Via del Campo S.N.C.
66043 Casoli CH
Istituto principale:
CHIS00300B Algeri Marino
Percorsi di Studio:
· MANUTENZIONE E ASSISTENZA TECNICA",Scuola statale,CHRI003013
8,Abruzzo,Provincia di Chieti,Altino,Scuola Secondaria di secondo grado (5),Ist. Tec. Algeri Marino,"Istituto Tecnico Economico
Ist. Tec. Algeri Marino
Via del Campo Sportivo 35
66043 Casoli CH
Istituto principale:
CHIS00300B Algeri Marino
Percorsi di Studio:
· AMMINISTRAZIONE, FINANZA E MARKETING",Scuola statale,CHTD00301N
9,Abruzzo,Provincia di Chieti,Altino,Scuola Secondaria di secondo grado (5),Ist.T. Agrar. Agroal. e Agroind.,"Istituto Tecnico Tecnologico
Ist.T. Agrar. Agroal. e Agroind.
Via del Campo Sportivo 35
66043 Casoli CH
Istituto principale:
CHIS00300B Algeri Marino",Scuola statale,CHTF003021
10,Abruzzo,Provincia di Chieti,Archi,Scuola dell'Infanzia (2),Scuola Infanzia Archi Capoluogo,"Scuola Infanzia Archi Capoluogo
Via Casina Cieri
66044 Archi CH
Istituto principale:
CHIC817005 P. Borrelli - Tornareccio",Scuola statale,CHAA817012
11,Abruzzo,Provincia di Chieti,Archi,Scuola dell'Infanzia (2),Scuola Infanzia Piane d',"Scuola Infanzia Piane d'
Via degli Ulivi
66044 Archi CH
Istituto principale:
CHIC817005 P. Borrelli - Tornareccio",Scuola statale,CHAA817023
12,Abruzzo,Provincia di Chieti,Archi,Scuola Primaria (1),Archi,"Archi
Via Sirolli
66044 Archi CH
Istituto principale:
CHIC817005 P. Borrelli - Tornareccio",Scuola statale,CHEE817028
13,Abruzzo,Provincia di Chieti,Archi,Scuola Secondaria di primo grado (1),Archi - IC Tornareccio,"Archi - IC Tornareccio
Via San Salvatore
66044 Archi CH
Istituto principale:
CHIC817005 P. Borrelli - Tornareccio",Scuola statale,CHMM817027
14,Abruzzo,Provincia di Chieti,Archi,Scuola Secondaria di secondo grado (5),Lic. Sc. Spaventa,"Liceo Scientifico
Lic. Sc. Spaventa
Viale della Stazione 9
66041 Atessa CH
Istituto principale:
CHIS00600V Spaventa
Percorsi di Studio:
· LICEO SCIENTIFICO
· LICEO SCIENTIFICO - OPZIONE SCIENZE APPLICATE",Scuola statale,CHPS006019
15,Abruzzo,Provincia di Chieti,Archi,Scuola Secondaria di secondo grado (5),Spaventa,"Istituto Professionale
Spaventa
Viale della Stazione 9
66041 Atessa CH
Istituto principale:
CHIS00600V Spaventa
Percorsi di Studio:
· SERVIZI SOCIO-SANITARI
· SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE",Scuola statale,CHRC00602V
16,Abruzzo,Provincia di Chieti,Archi,Scuola Secondaria di secondo grado (5),ITC Spaventa - Io Spaventa,"Istituto Tecnico Economico
ITC Spaventa - Io Spaventa
Viale della Stazione 9
66041 Atessa CH
Istituto principale:
CHIS00600V Spaventa
Percorsi di Studio:
· AMMINISTRAZIONE, FINANZA E MARKETING",Scuola statale,CHTD006015
17,Abruzzo,Provincia di Chieti,Archi,Scuola Secondaria di secondo grado (5),Liceo delle Scienze Umane,"Liceo Scienze Umane
Liceo delle Scienze Umane
Via del Campo Stortivo 35
66043 Casoli CH
Istituto principale:
CHIS00300B Algeri Marino",Scuola statale,CHPM00301V
18,Abruzzo,Provincia di Chieti,Archi,Scuola Secondaria di secondo grado (5),Lic. Sc. Algeri Marino,"Liceo Scientifico
Lic. Sc. Algeri Marino
Via del Campo 35
66043 Casoli CH
Istituto principale:
CHIS00300B Algeri Marino
Percorsi di Studio:
· LICEO SCIENTIFICO",Scuola statale,CHPS00301T
19,Abruzzo,Provincia di Chieti,Ari,Scuola dell'Infanzia (1),Sc. Infanzia,"Sc. Infanzia
Via Don Beniamino di Felice
66010 Ari CH
Istituto principale:
CHIC82200L Miglianico - Miglianico",Scuola statale,CHAA82203G
20,Abruzzo,Provincia di Chieti,Ari,Scuola Primaria (1),Sc. Primaria Ari Cap.,"Sc. Primaria Ari Cap.
Via Papa Giovanni XXIII
66010 Ari CH
Istituto principale:
CHIC82200L Miglianico - Miglianico",Scuola statale,CHEE82202Q
21,Abruzzo,Provincia di Chieti,Ari,Scuola Secondaria di primo grado (4),Giuliano Teat. - IC Miglianico,"Giuliano Teat. - IC Miglianico
Via Fioravante Flacco
66010 Giuliano Teatino CH
Istituto principale:
CHIC82200L Miglianico - Miglianico",Scuola statale,CHMM82201N
22,Abruzzo,Provincia di Chieti,Ari,Scuola Secondaria di primo grado (4),Vacri - IC Bucchianico,"Vacri - IC Bucchianico
Via d'Annunzio
66010 Vacri CH
Istituto principale:
CHIC81900R Bucchianico - Bucchianico",Scuola statale,CHMM81902V
23,Abruzzo,Provincia di Chieti,Ari,Scuola Secondaria di primo grado (4),Villamagna - IC Bucchianico,"Villamagna - IC Bucchianico
Viale Regina Margherita
66010 Villamagna CH
Istituto principale:
CHIC81900R Bucchianico - Bucchianico",Scuola statale,CHMM81903X
24,Abruzzo,Provincia di Chieti,Ari,Scuola Secondaria di primo grado (4),Crecchio - I.C. Tollo,"Crecchio - I.C. Tollo
Via Piana 4
66014 Crecchio CH
Istituto principale:
CHIC81300T Tollo N. Nicolini - Tollo",Scuola statale,CHMM81302X
25,Abruzzo,Provincia di Chieti,Arielli,Scuola Primaria (1),Arielli Capoluogo,"Arielli Capoluogo
Via A.Moro 27
66030 Arielli CH
Istituto principale:
CHIC82300C Orsogna - Orsogna",Scuola statale,CHEE82302G
26,Abruzzo,Provincia di Chieti,Arielli,Scuola dell'Infanzia (3),Poggiofiorito Capoluogo,"Poggiofiorito Capoluogo
Via Tommaso Coccione
66030 Poggiofiorito CH
Istituto principale:
CHIC82300C Orsogna - Orsogna",Scuola statale,CHAA82302A
27,Abruzzo,Provincia di Chieti,Arielli,Scuola dell'Infanzia (3),Crecchio Capoluogo,"Crecchio Capoluogo
Rione Palazzo
66014 Crecchio CH
Istituto principale:
CHIC81300T Tollo N. Nicolini - Tollo",Scuola statale,CHAA81301P
28,Abruzzo,Provincia di Chieti,Arielli,Scuola dell'Infanzia (3),Villa Selciaroli,"Villa Selciaroli
Villa Selciaroli
66014 Crecchio CH
Istituto principale:
CHIC81300T Tollo N. Nicolini - Tollo",Scuola statale,CHAA81302Q
29,Abruzzo,Provincia di Chieti,Arielli,Scuola Secondaria di primo grado (3),Crecchio - I.C. Tollo,"Crecchio - I.C. Tollo
Via Piana 4
66014 Crecchio CH
Istituto principale:
CHIC81300T Tollo N. Nicolini - Tollo",Scuola statale,CHMM81302X
30,Abruzzo,Provincia di Chieti,Arielli,Scuola Secondaria di primo grado (3),Frisa,"Frisa
Via XXIV Maggio
66030 Frisa CH
Istituto principale:
CHIC839002 Lanciano Don L. Milani - Lanciano",Scuola statale,CHMM839013
31,Abruzzo,Provincia di Chieti,Arielli,Scuola Secondaria di primo grado (3),Orsogna,"Orsogna
Via Trento e Trieste
66036 Orsogna CH
Istituto principale:
CHIC82300C Orsogna",Scuola statale,CHMM82301D
32,Abruzzo,Provincia di Chieti,Arielli,Scuola Secondaria di secondo grado (2),V. Emanuele II,"Liceo Classico
V. Emanuele II
Via Bologna 8
66034 Lanciano CH
Istituto principale:
CHIS00900A V. Emanuele II
Percorsi di Studio:
· LICEO CLASSICO",Scuola statale,CHPC00901N
33,Abruzzo,Provincia di Chieti,Arielli,Scuola Secondaria di secondo grado (2),Liceo De Titta - Iis De Titta Fermi,"Liceo Linguistico e delle Scienze Umane
Liceo De Titta - Iis De Titta Fermi
Piazza Martiri VI Ottobre 1
66034 Lanciano CH
Istituto principale:
CHIS019001 De Titta - Fermi
Percorsi di Studio:
· LICEO LINGUISTICO
· LICEO SCIENZE UMANE
· LICEO SCIENZE UMANE - OPZIONE ECONOMICO SOCIALE",Scuola statale,CHPM01901C
34,Abruzzo,Provincia di Chieti,Atessa,Scuola dell'Infanzia (6),Fonte Cicala,"Fonte Cicala
Via D. Ciampoli N? 4
66041 Atessa CH
Istituto principale:
CHIC818001 I. Omnicompr. Ciampoli-Spaventa",Scuola statale,CHAA81801T
35,Abruzzo,Provincia di Chieti,Atessa,Scuola dell'Infanzia (6),Rione Meridionale,"Rione Meridionale
Via Luigi Cinalli N? 17
66041 Atessa CH
Istituto principale:
CHIC818001 I. Omnicompr. Ciampoli-Spaventa",Scuola statale,CHAA81802V
36,Abruzzo,Provincia di Chieti,Atessa,Scuola dell'Infanzia (6),Aia S. Maria,"Aia S. Maria
Contrada Aia Santa Maria N? 76
66041 Atessa CH
Istituto principale:
CHIC818001 I. Omnicompr. Ciampoli-Spaventa",Scuola statale,CHAA81803X
37,Abruzzo,Provincia di Chieti,Atessa,Scuola dell'Infanzia (6),Piana la Fara,"Piana la Fara
Via del Sangro N? 17
66041 Atessa CH
Istituto principale:
CHIC818001 I. Omnicompr. Ciampoli-Spaventa",Scuola statale,CHAA818041
38,Abruzzo,Provincia di Chieti,Atessa,Scuola dell'Infanzia (6),San Luca,"San Luca
Via San Luca N? 60/B
66041 Atessa CH
Istituto principale:
CHIC818001 I. Omnicompr. Ciampoli-Spaventa",Scuola statale,CHAA818052
39,Abruzzo,Provincia di Chieti,Atessa,Scuola dell'Infanzia (6),Principessa Elena,"Principessa Elena
Via Duca degli Abruzzi 46
66041 Atessa CH",Scuola paritaria,CH1A00400D
40,Abruzzo,Provincia di Chieti,Atessa,Scuola Primaria (4),Rione S. Maria-Io Ciampoli/sp.,"Rione S. Maria-Io Ciampoli/sp.
Via D. Ciampoli N? 8/A
66041 Atessa CH
Istituto principale:
CHIC818001 I. Omnicompr. Ciampoli-Spaventa",Scuola statale,CHEE818013
